trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
1,17,0.5,0.0,35.0,1,1.0,0.2855000000000004
2,17,0.5,1.0,-35.0,-1,1.0,0.20489999999999853
3,17,0.5,0.25,35.0,1,1.0,0.27520000000000167
4,17,0.5,0.0625,-35.0,1,0.0,0.17909999999999826
5,17,0.5,0.0625,35.0,-1,0.0,0.20319999999999894
6,17,0.5,0.25,35.0,1,1.0,0.40640000000000853
7,17,0.5,0.0,35.0,1,1.0,0.4629010000000022
8,17,0.5,0.0,-35.0,1,0.0,0.209699999999998
9,17,0.8,0.0,-35.0,1,0.0,0.2838000000000065
10,17,0.5,1.0,-35.0,-1,1.0,0.21870000000000545
11,17,0.5,0.0625,35.0,1,1.0,0.24520100000000156
12,17,0.5,0.125,35.0,1,1.0,0.25720000000000454
13,17,0.5,0.25,-35.0,-1,1.0,0.19420100000000673
14,17,0.5,0.125,35.0,1,1.0,0.27200100000001015
15,17,0.5,0.0,35.0,1,1.0,0.24620100000000633
16,17,0.5,0.125,35.0,1,1.0,0.2049999999999983
17,17,0.5,1.0,-35.0,-1,1.0,0.24739999999999895
18,17,0.5,0.0625,35.0,-1,0.0,0.24729999999999563
19,17,0.5,0.25,35.0,1,1.0,0.1856999999999971
20,17,0.5,1.0,35.0,1,1.0,0.12890000000000157
21,17,0.5,0.0625,35.0,1,1.0,0.24890000000000612
22,17,0.5,0.125,-35.0,-1,1.0,0.09729999999998995
23,17,0.5,0.0,-35.0,1,0.0,0.2342999999999904
24,17,0.5,0.0,35.0,1,1.0,0.2843999999999909
25,17,0.5,1.0,-35.0,-1,1.0,0.23430000000000462
26,17,0.5,1.0,35.0,1,1.0,0.22990000000000066
27,17,0.5,0.0625,35.0,1,1.0,0.2822999999999922
28,17,0.5,0.125,-35.0,-1,1.0,0.2674999999999841
29,17,0.5,0.125,35.0,1,1.0,0.2968999999999937
30,17,0.5,1.0,-35.0,-1,1.0,0.2360000000000042
31,17,0.5,0.25,-35.0,-1,1.0,0.2648009999999914
32,17,0.5,0.0,-35.0,-1,1.0,0.10420099999998911
33,17,0.5,0.0,35.0,1,1.0,0.22719999999998208
34,17,0.5,0.125,-35.0,1,0.0,0.2869000000000028
35,17,0.5,0.25,-35.0,-1,1.0,0.21099999999999852
36,17,0.5,0.0625,35.0,1,1.0,0.3999999999999915
37,17,0.5,0.125,35.0,1,1.0,0.28539999999998145
38,17,0.5,0.125,-35.0,1,0.0,0.1747000000000014
39,17,0.5,0.125,-35.0,-1,1.0,0.5930000000000177
40,17,0.5,0.125,-35.0,-1,1.0,0.21750000000000114
41,17,0.5,1.0,-35.0,-1,1.0,0.18599999999997863
42,17,0.5,1.0,35.0,1,1.0,0.3120009999999809
43,17,0.5,0.125,35.0,1,1.0,0.24870100000001116
44,17,0.5,0.0625,-35.0,-1,1.0,0.2108000000000061
45,17,0.5,0.0,-35.0,-1,1.0,0.2013000000000318
46,17,0.5,0.0625,-35.0,1,0.0,0.404200000000003
47,17,0.5,0.25,-35.0,-1,1.0,0.19429999999999836
48,17,0.5,1.0,35.0,1,1.0,0.275100000000009
1,18,0.5,0.125,35.0,1,1.0,0.1862999999999997
2,18,0.5,0.125,35.0,1,1.0,0.26539999999999964
3,18,0.5,0.25,35.0,-1,0.0,0.16970099999999988
4,18,0.5,0.25,-35.0,-1,1.0,0.2123009999999983
5,18,0.5,0.0625,-35.0,-1,1.0,0.14819999999999922
6,18,0.5,0.25,35.0,-1,0.0,0.21350000000000335
7,18,0.5,0.125,-35.0,-1,1.0,0.161601000000001
8,18,0.5,0.125,-35.0,-1,1.0,0.16199999999999903
9,18,0.5,0.125,-35.0,-1,1.0,0.11030000000000229
10,18,0.5,0.0625,35.0,-1,0.0,0.12539999999999907
11,18,0.2,0.0625,35.0,-1,0.0,0.13820000000001187
12,18,0.5,1.0,35.0,-1,0.0,0.14960000000000662
13,18,0.0,1.0,35.0,-1,0.0,0.11240100000000552
14,18,0.0,1.0,35.0,-1,0.0,0.1373010000000079
15,18,0.0,1.0,35.0,-1,0.0,0.15400099999999384
16,18,0.0,1.0,35.0,-1,0.0,0.14580000000000837
17,18,0.0,1.0,35.0,-1,0.0,0.15630000000000166
18,18,0.0,1.0,35.0,1,1.0,0.1016999999999939
19,18,0.5,1.0,35.0,-1,0.0,0.10480099999999481
20,18,0.5,0.25,35.0,1,1.0,0.14640099999999734
21,18,0.5,0.0625,35.0,-1,0.0,0.13540100000000166
22,18,0.5,0.0625,-35.0,-1,1.0,0.13430100000000778
23,18,0.5,0.125,35.0,1,1.0,0.14620000000000744
24,18,0.5,0.0,-35.0,-1,1.0,0.047601000000000226
25,18,0.5,0.25,35.0,-1,0.0,0.14239999999999498
26,18,0.5,0.0625,-35.0,-1,1.0,0.14149999999999352
27,18,0.5,1.0,35.0,-1,0.0,0.12140000000000839
28,18,0.3,1.0,-35.0,-1,1.0,0.13800000000000523
29,18,0.5,1.0,-35.0,-1,1.0,0.13360000000000127
30,18,0.5,1.0,-35.0,-1,1.0,0.13589999999999236
31,18,0.5,1.0,35.0,-1,0.0,0.14160000000001105
32,18,0.5,0.125,35.0,1,1.0,0.23330000000001405
33,18,0.5,1.0,-35.0,-1,1.0,0.2711000000000183
34,18,0.5,0.125,35.0,-1,0.0,0.13360000000000127
35,18,0.5,0.125,-35.0,-1,1.0,0.1641999999999939
36,18,0.5,0.0625,35.0,-1,0.0,0.12800000000001432
37,18,0.1,0.0625,35.0,-1,0.0,0.14519999999998845
38,18,0.5,1.0,35.0,1,1.0,0.19780000000000086
39,18,0.5,0.0625,-35.0,1,0.0,0.09430000000000405
40,18,0.5,0.0,35.0,-1,0.0,0.1524000000000001
41,18,0.5,0.0625,-35.0,-1,1.0,0.216700000000003
42,18,0.5,1.0,-35.0,-1,1.0,0.22769999999999868
43,18,0.5,0.125,-35.0,-1,1.0,0.5204999999999984
44,18,0.5,1.0,-35.0,-1,1.0,0.14509999999998513
45,18,0.5,1.0,-35.0,-1,1.0,-0.004899999999992133
46,18,0.5,0.125,35.0,-1,0.0,0.15460100000001376
47,18,0.2,0.125,35.0,-1,0.0,0.13820000000001187
48,18,0.5,1.0,35.0,1,1.0,0.2674000000000092
49,18,0.5,0.25,-35.0,-1,1.0,0.157100000000014
50,18,0.5,1.0,-35.0,-1,1.0,0.16079999999999472
