trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
1,11,0.5,0.0,35.0,-1,0.0,6.884299999999999
2,11,0.9,0.0,-35.0,-1,1.0,14.5152
3,11,0.5,1.0,-35.0,-1,1.0,0.3896999999999977
4,11,0.5,1.0,35.0,-1,0.0,2.066200000000002
5,11,0.5,0.125,35.0,-1,0.0,3.8274000000000044
6,11,0.5,0.125,-35.0,-1,1.0,1.1584000000000003
7,11,0.5,0.0625,-35.0,-1,1.0,2.1761000000000053
8,11,0.5,0.25,-35.0,-1,1.0,0.42600000000000193
9,11,0.5,0.0625,35.0,-1,0.0,0.4081000000000117
10,11,0.5,0.25,35.0,-1,0.0,0.4089999999999918
11,11,0.5,0.25,-35.0,-1,1.0,0.6476000000000113
12,11,0.5,0.125,35.0,-1,0.0,2.030000000000001
13,11,0.5,0.0,35.0,-1,0.0,0.3783999999999992
14,11,0.5,0.0,35.0,-1,0.0,0.7312000000000154
15,11,0.5,0.0625,35.0,-1,0.0,5.735400000000013
16,11,0.0,0.0625,35.0,-1,0.0,3.909400000000005
17,11,0.5,1.0,35.0,1,1.0,0.7697000000000003
18,11,0.5,1.0,-35.0,-1,1.0,2.6200000000000045
19,11,0.5,0.25,-35.0,-1,1.0,2.758899999999997
20,11,0.5,0.125,35.0,-1,0.0,0.366100000000003
21,11,0.5,0.125,35.0,-1,0.0,0.37120000000000175
22,11,0.5,0.0,-35.0,-1,1.0,3.3590999999999696
23,11,0.5,0.125,-35.0,-1,1.0,0.7267999999999972
24,11,0.5,1.0,35.0,1,1.0,0.8514999999999588
25,11,0.5,0.125,35.0,-1,0.0,0.6383999999999901
26,11,0.5,0.25,35.0,-1,0.0,
27,11,0.5,0.0625,35.0,-1,0.0,4.220199999999977
28,11,0.5,0.0,-35.0,-1,1.0,0.5264999999999986
29,11,0.5,0.0625,-35.0,-1,1.0,2.7957999999999856
30,11,0.5,0.0625,-35.0,-1,1.0,0.3237999999999772
31,11,0.5,0.0,35.0,-1,0.0,3.980799999999988
32,11,0.5,0.125,35.0,-1,0.0,0.4321999999999946
33,11,0.5,0.25,-35.0,-1,1.0,0.40739999999999554
34,11,0.5,0.125,-35.0,-1,1.0,0.4114999999999611
35,11,0.5,0.0625,35.0,-1,0.0,1.495699999999971
36,11,0.5,0.125,35.0,-1,0.0,2.437699999999978
37,11,0.5,0.0,35.0,-1,0.0,4.525599999999997
38,11,0.0,0.0,35.0,-1,0.0,0.9055999999999926
39,11,0.5,1.0,35.0,-1,0.0,0.521899999999988
40,11,0.5,0.0625,-35.0,-1,1.0,0.4522000000000048
41,11,0.5,0.25,-35.0,-1,1.0,0.5346999999999582
42,11,0.5,0.25,35.0,1,1.0,1.2322999999999809
43,11,0.5,0.0625,-35.0,-1,1.0,0.6338999999999828
44,11,0.5,1.0,-35.0,-1,1.0,0.3708999999999776
