trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
1,22,0.5,0.125,35.0,1,1.0,0.31830000000000025
2,22,0.5,0.125,-35.0,-1,1.0,0.4291000000000009
3,22,0.5,0.0625,-35.0,1,0.0,0.25760000000000005
4,22,0.5,0.25,35.0,1,1.0,0.33310000000000173
5,22,0.5,0.0,35.0,-1,0.0,0.17050000000000054
6,22,0.8,0.0,-35.0,1,0.0,0.3354999999999997
7,22,0.5,1.0,35.0,1,1.0,0.20570000000000022
8,22,0.5,0.0625,-35.0,-1,1.0,0.2788000000000004
9,22,0.5,0.25,-35.0,-1,1.0,0.07219999999998805
10,22,0.5,0.125,-35.0,-1,1.0,0.1074999999999946
11,22,0.5,0.0625,-35.0,1,0.0,0.3511999999999986
12,22,0.5,0.25,35.0,1,1.0,0.25019999999999953
13,22,0.5,0.0625,-35.0,1,0.0,0.27649999999999864
14,22,0.6,0.0625,-35.0,1,0.0,0.34780000000000655
15,22,0.5,1.0,35.0,1,1.0,0.2494999999999976
16,22,0.5,0.25,-35.0,1,0.0,0.11870000000000402
17,22,0.5,0.25,-35.0,-1,1.0,0.1577999999999946
18,22,0.5,0.125,35.0,1,1.0,0.2669999999999959
19,22,0.5,0.125,-35.0,-1,1.0,0.34440000000000737
20,22,0.5,1.0,35.0,1,1.0,0.2500999999999891
21,22,0.5,1.0,35.0,1,1.0,0.29049999999999443
22,22,0.5,0.125,35.0,-1,0.0,0.28530000000000655
23,22,0.5,0.0625,35.0,1,1.0,0.25430000000000064
24,22,0.5,1.0,35.0,1,1.0,0.22289999999999566
25,22,0.5,0.0625,35.0,-1,0.0,0.1781000000000006
26,22,0.5,0.125,35.0,1,1.0,0.1903999999999968
27,22,0.5,0.0,35.0,1,1.0,0.291000000000011
28,22,0.5,1.0,35.0,1,1.0,0.13949999999999818
29,22,0.5,1.0,-35.0,-1,1.0,0.2587999999999937
30,22,0.5,0.25,-35.0,1,0.0,0.2927999999999997
31,22,0.5,0.125,35.0,1,1.0,0.22280000000000655
32,22,0.5,0.0625,-35.0,1,0.0,0.2506000000000199
33,22,0.5,0.25,35.0,1,1.0,0.18249999999997613
34,22,0.5,0.25,-35.0,-1,1.0,0.14629999999999654
35,22,0.5,0.125,-35.0,1,0.0,0.3388999999999953
36,22,0.5,0.25,-35.0,1,0.0,0.07189999999999941
37,22,0.5,0.0625,35.0,1,1.0,0.49090000000001055
38,22,0.5,0.25,-35.0,-1,1.0,0.17889999999999873
39,22,0.5,0.0625,-35.0,-1,1.0,0.28249999999999886
40,22,0.5,0.25,35.0,-1,0.0,0.16590000000002192
41,22,0.6,0.25,-35.0,-1,1.0,0.14119999999999777
42,22,0.5,1.0,-35.0,-1,1.0,0.08990000000000009
43,22,0.5,1.0,35.0,1,1.0,0.2569000000000017
44,22,0.5,0.0625,35.0,1,1.0,0.3566990000000203
45,22,0.5,1.0,35.0,1,1.0,0.28489999999999327
46,22,0.5,1.0,35.0,1,1.0,0.2606000000000108
47,22,0.5,1.0,-35.0,1,0.0,0.3499999999999943
48,22,0.5,1.0,35.0,1,1.0,0.15749999999999886
49,22,0.5,1.0,35.0,1,1.0,0.25140000000001805
50,22,0.5,0.0,35.0,-1,0.0,0.1852000000000089
51,22,0.5,0.0625,-35.0,1,0.0,0.32730000000000814
52,22,0.5,0.25,-35.0,-1,1.0,0.304300000000012
53,22,0.5,1.0,-35.0,-1,1.0,0.34469899999999143
54,22,0.5,1.0,-35.0,-1,1.0,0.27120000000002165
55,22,0.5,1.0,35.0,1,1.0,0.2102999999999895
56,22,0.5,0.25,-35.0,-1,1.0,0.4057000000000244
57,22,0.5,0.0625,35.0,1,1.0,0.2609999999999957
58,22,0.5,0.0,-35.0,1,0.0,0.5058999999999969
59,22,0.5,0.0,35.0,1,1.0,0.16809999999998126
60,22,0.5,0.0625,-35.0,1,0.0,0.24169999999998026
61,22,0.5,0.0625,-35.0,1,0.0,0.09709999999995489
62,22,0.5,0.0,35.0,1,1.0,2.471900000000005
63,22,0.5,0.25,-35.0,-1,1.0,0.23210000000000264
64,22,0.5,0.125,-35.0,1,0.0,0.1783999999999537
65,22,0.5,0.0625,-35.0,-1,1.0,0.3820999999999799
66,22,0.5,1.0,-35.0,-1,1.0,0.3335999999999899
67,22,0.5,0.0625,-35.0,-1,1.0,0.22759999999999536
68,22,0.5,1.0,35.0,1,1.0,0.2579999999999245
69,22,0.5,1.0,35.0,-1,0.0,0.08059999999994716
70,22,0.5,0.25,-35.0,-1,1.0,0.29869999999999663
71,22,0.5,0.125,35.0,1,1.0,0.2656000000000063
72,22,0.5,0.25,-35.0,1,0.0,0.2955989999999815
73,22,0.5,0.125,35.0,1,1.0,0.26799999999997226
74,22,0.5,0.0625,35.0,1,1.0,0.3614000000000033
75,22,0.5,1.0,35.0,-1,0.0,0.13079999999996517
76,22,0.5,0.25,35.0,1,1.0,0.31119999999998527
77,22,0.5,0.25,-35.0,1,0.0,0.35909999999995534
78,22,0.5,0.0625,-35.0,-1,1.0,0.7767999999999802
79,22,0.5,0.0,-35.0,-1,1.0,0.3371000000000208
80,22,0.5,0.25,-35.0,-1,1.0,0.27369999999996253
81,22,0.5,0.0625,35.0,-1,0.0,0.11069999999995161
82,22,0.5,0.0625,35.0,1,1.0,0.3494000000000028
83,22,0.5,0.25,-35.0,-1,1.0,0.22210000000001173
84,22,0.5,0.0,35.0,1,1.0,0.11529999999999063
85,22,0.5,0.125,-35.0,1,0.0,0.2640999999999849
86,22,0.5,0.25,35.0,1,1.0,0.31979999999998654
87,22,0.5,1.0,35.0,1,1.0,0.21289999999999054
88,22,0.5,0.25,-35.0,-1,1.0,0.35140000000001237
89,22,0.5,0.25,35.0,1,1.0,0.23469999999991842
90,22,0.5,0.125,35.0,1,1.0,0.28019999999997935
91,22,0.5,1.0,-35.0,1,0.0,0.08920000000000528
92,22,0.5,0.0625,-35.0,1,0.0,0.15280000000001337
93,22,0.5,0.0625,35.0,1,1.0,0.3418999999999528
94,22,0.5,0.25,35.0,1,1.0,0.3104999999999336
95,22,0.5,0.0,-35.0,-1,1.0,0.15869999999995343
96,22,0.5,1.0,35.0,1,1.0,0.22559999999992897
97,22,0.5,0.0625,-35.0,-1,1.0,0.21729999999996608
98,22,0.5,0.25,35.0,1,1.0,0.12829999999996744
99,22,0.5,0.0625,35.0,1,1.0,0.424699999999973
100,22,0.5,0.0625,-35.0,-1,1.0,0.300200000000018
101,22,0.5,0.0625,35.0,1,1.0,0.3202999999999747
102,22,0.5,0.25,35.0,1,1.0,0.24269999999995662
103,22,0.5,0.125,35.0,1,1.0,0.25849999999996953
104,22,0.5,0.25,35.0,1,1.0,0.294399999999996
105,22,0.5,0.25,35.0,1,1.0,0.23659999999995307
106,22,0.5,1.0,-35.0,-1,1.0,0.3532999999999902
107,22,0.5,1.0,-35.0,-1,1.0,0.3483999999999696
108,22,0.5,0.0625,-35.0,1,0.0,0.3476999999999748
109,22,0.7,0.0625,-35.0,-1,1.0,0.3632999999999811
110,22,0.5,1.0,-35.0,-1,1.0,0.22550000000001091
111,22,0.5,0.0625,35.0,-1,0.0,0.1822999999999979
112,22,0.5,0.0625,35.0,1,1.0,0.20749999999992497
113,22,0.5,1.0,-35.0,1,0.0,0.23980000000000246
114,22,0.5,1.0,35.0,1,1.0,0.21179999999998245
115,22,0.5,1.0,35.0,1,1.0,0.2604000000000042
116,22,0.5,0.0625,-35.0,1,0.0,0.38870000000002847
117,22,0.5,0.125,35.0,-1,0.0,0.1057999999999879
118,22,0.6,0.125,35.0,1,1.0,0.27649999999999864
119,22,0.5,1.0,35.0,1,1.0,0.2562000000000353
120,22,0.5,0.125,35.0,1,1.0,0.2574999999999932
121,22,0.5,0.0625,35.0,1,1.0,0.1782999999999788
122,22,0.5,1.0,-35.0,-1,1.0,0.30119999999999436
123,22,0.5,0.0625,35.0,1,1.0,0.2504000000000133
124,22,0.5,0.25,-35.0,1,0.0,0.4451999999999998
125,22,0.5,0.0,-35.0,-1,1.0,2.1523999999999432
126,22,0.5,1.0,35.0,1,1.0,0.27710000000001855
127,22,0.5,0.25,-35.0,-1,1.0,0.1582000000000221
128,22,0.5,1.0,35.0,1,1.0,0.23559899999997924
129,22,0.5,1.0,35.0,1,1.0,0.25080000000014024
130,22,0.5,0.0625,35.0,1,1.0,0.0988999999999578
131,22,0.5,1.0,-35.0,-1,1.0,0.2866000000000213
132,22,0.5,0.25,-35.0,-1,1.0,0.2858999999999696
133,22,0.5,1.0,-35.0,-1,1.0,0.12200000000018463
134,22,0.5,0.125,-35.0,-1,1.0,0.518799999999942
135,22,0.5,1.0,-35.0,-1,1.0,0.07609999999999673
